ID,Продукт,Регион,по,Правообладатель,Новое назавание
19183191,TEKKEN 8 - Ultimate Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,TEKKEN 8 - Ultimate Edition EUR
19183192,JoJo's Bizarre Adventure: All-Star Battle R - Digital Ultimate Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,JoJo's Bizarre Adventure: All-Star Battle R - Digital Ultimate Edition EUR
19183194,SCARLET NEXUS - Ultimate Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,SCARLET NEXUS - Ultimate Edition EUR
19183198,MY HERO ONE'S JUSTICE 2,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,MY HERO ONE'S JUSTICE 2 EUR
19183200,SOULCALIBUR VI: Deluxe Edition,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,SOULCALIBUR VI: Deluxe Edition EUR
19183205,DARK SOULS™ II Crown of the Old Iron King,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,DARK SOULS™ II Crown of the Old Iron King EUR
19183212,NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,EU,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition EU
19183223,Captain Tsubasa: Rise of New Champions - Deluxe Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Captain Tsubasa: Rise of New Champions - Deluxe Edition EUR
19183229,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2 EUR
19183244,DRAGON BALL: THE BREAKERS - Special Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,DRAGON BALL: THE BREAKERS - Special Edition EUR
