PRODUCTID,listing,catID,product
6762c84a29a88e0094873cb0,Kletka ,19630701,KLETKA 
69a16afbfe4c59292d426ce6,LEGO Batman: Legacy of the Dark Knight Deluxe Edition + Pre-Order Bonus DLC PRE-ORDER EU,19635804,LEGO® Batman™: Legacy of the Dark Knight - Deluxe Edition EUR
69b4eabc6ec72c13135b05c3,LEGO Batman: Legacy of the Dark Knight Deluxe Edition EU,19635804,LEGO® Batman™: Legacy of the Dark Knight - Deluxe Edition EUR
5c9b6a7a2539a4e8f17c6a82,LEGO City Undercover,19169394,LEGO® City Undercover
5cd19c902736e8638c317ca5,Layers of Fear 2,19622567,Layers of Fear 2 (2019) 
67347fdac0ee9b94ee7e1d5f,Legacy of Kain: Soul Reaver 1&2 Remastered,19185403,Legacy of Kain™ Soul Reaver 1&2 Remastered KRW
68ece552369f82000b7d1b89,Lessaria: Fantasy Kingdom Sim,19192559,Lessaria: Fantasy Kingdom Sim EUR
5c9b5efb2539a4e8f1723db1,Lost Planet: Extreme Condition,19633938,Lost Planet™: Extreme Condition UAH
69f1fae31d57ed0a45b630f9,LumenTale: Memories of Trey,19680646,LumenTale: Memories of Trey 
64f9b3f82d81d41b45718031,MEGA MAN X DiVE Offline,19194266,MEGA MAN X DiVE Offline 
68f3793a7071704c675291d6,MISERY,19623900,MISERY 
5c9b65692539a4e8f177afc8,MX vs. ATV Unleashed,14004113,MX vs. ATV Unleashed 
5c9b77a22539a4e8f183b91c,Mana Spark,16614566,Mana Spark RUB
633912510eda6de0a01f9979,Marvel's Midnight Suns,19631658,Marvel's Midnight Suns - Standard Edition (Steam) 
6669620410ed4178c5b62f9a,Melvor Idle - Into The Abyss DLC,19183022,Melvor Idle - Into The Abyss 
5c9b7bde2539a4e8f1865cb5,Metro Exodus EU,19185812,Metro Exodus EU
64a3b3b4098a615a69245b0b,Metro Exodus Gold Edition EU,19185813,Metro Exodus - Gold Edition
691c5a0326a9c247587942fc,Metro Exodus Gold Edition RoW,19185813,Metro Exodus - Gold Edition
5e006e2bd103218899c93757,Monster Hunter World - Iceborne DLC,19150019,MONSTER HUNTER: WORLD: Iceborne 
5c9b63762539a4e8f175d9e6,Monstrum,19182640,Monstrum KZT
69943e69a711f4149dd2db60,NORSE: Oath of Blood EU,19627546,norse-oath-of-blood--5 
69943eea3d9c8a58201a2f1f,NORSE: Oath of Blood Special Edition EU,19627547,norse-oath-of-blood-special-edition--5 
66d38ef4bc310834df41c999,Necroking,19185067,Necroking RU
62cd7712f6d6520001f9232d,Necrosmith,19178987,Necrosmith
62683a2da6d5be0001f0f138,Neptunia x SENRAN KAGURA: Ninja Wars,19150895,Neptunia x SENRAN KAGURA: Ninja Wars
